name,price_level,rating,user_rating_count,business_status,phone,website,google_maps_url,address,latitude,longitude,primary_type,types,opening_hours,source_label,source_query,source_type,source_area,id
Double dose coffee,PRICE_LEVEL_MODERATE,4.9,32,OPERATIONAL,010 39541423,http://doubledosecoffee.com/,https://maps.google.com/?cid=14668789479899399286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"22G6+R7G, El-Bostan, First Al Sheikh Zayed, Giza Governorate 3244533, Egypt",30.027407600000004,31.010843699999995,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 1:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJ-eILBgBbWBQRdgRkOlACkss
Koffee Kulture,PRICE_LEVEL_MODERATE,4.8,8432,OPERATIONAL,012 24424221,https://koffee-kulture.com/,https://maps.google.com/?cid=9194584562682310519&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Arkan Plaza, First Al Sheikh Zayed, Giza Governorate 12556, Egypt",30.0196583,31.0043908,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 7:30 AM – 11:45 PM | Tuesday: 7:30 AM – 11:45 PM | Wednesday: 7:30 AM – 11:45 PM | Thursday: 7:30 AM – 11:45 PM | Friday: 7:30 AM – 11:45 PM | Saturday: 7:30 AM – 11:45 PM | Sunday: 7:30 AM – 11:45 PM,strict cafe,"cafe in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJYxdRlJhbWBQRdy_42_G5mX8
1980 coffee,PRICE_LEVEL_MODERATE,4.8,2262,OPERATIONAL,,,https://maps.google.com/?cid=15375390641367566867&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Galleria 40 sheikh Zayed, أول الشيخ زايد، محافظة الجيزة 3242302, Egypt",30.0162626,31.001107,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJrRTGeQBbWBQRE0qUdVNcYNU
Beans&Brew,PRICE_LEVEL_MODERATE,4.8,826,OPERATIONAL,015 03431388,https://www.facebook.com/beansbrew.eg,https://maps.google.com/?cid=2455347693117673718&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"33 AlHaram Street, Mashaal, نزلة السمان، الهرم، محافظة الجيزة 12345, Egypt",29.986666900000003,31.141664700000003,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,Monday: 8:00 AM – 2:00 AM | Tuesday: 8:00 AM – 2:00 AM | Wednesday: 8:00 AM – 2:00 AM | Thursday: 8:00 AM – 2:00 AM | Friday: 8:00 AM – 2:00 AM | Saturday: 8:00 AM – 2:00 AM | Sunday: 8:00 AM – 2:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJYxEvCb9FWBQR9pBayLclEyI
The Vibe,PRICE_LEVEL_MODERATE,4.8,417,OPERATIONAL,010 44007712,,https://maps.google.com/?cid=12169596562805671942&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2XW3+X49, Second Al Sheikh Zayed, Giza Governorate 3250740, Egypt",30.047437499999997,30.952812500000004,restaurant,restaurant; cafe; association_or_organization; food; point_of_interest; establishment,,strict cafe,كافيهات 6 أكتوبر,cafe,6 October core,ChIJXdj7wRRZWBQRBsjYuZgX46g
Brunch Restaurant & Cafe,PRICE_LEVEL_MODERATE,4.6,600,OPERATIONAL,010 20061111,https://linktr.ee/Brunch.eg,https://maps.google.com/?cid=4316928667724829534&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"First 6th of October, Giza Governorate 3233404, Egypt",29.9716111,30.961302999999994,restaurant,restaurant; cafe; point_of_interest; food; establishment,Monday: 8:30 AM – 2:00 AM | Tuesday: 8:30 AM – 2:00 AM | Wednesday: 8:30 AM – 2:00 AM | Thursday: 8:30 AM – 2:00 AM | Friday: 8:30 AM – 2:00 AM | Saturday: 8:30 AM – 2:00 AM | Sunday: 8:30 AM – 2:00 AM,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,6 October core,ChIJ947N26dXWBQRXlNwUMDP6Ds
CAVA Palm Hills,PRICE_LEVEL_MODERATE,4.6,350,OPERATIONAL,012 26428000,,https://maps.google.com/?cid=11636303316136347873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Unnamed Road, 2249+52M، قسم أول 6 أكتوبر، محافظة الجيزة 3292420, Egypt",30.005466600000002,31.017546799999998,cafe,cafe; food; point_of_interest; establishment,Monday: 10:00 AM – 1:00 AM | Tuesday: 10:00 AM – 1:00 AM | Wednesday: 10:00 AM – 1:00 AM | Thursday: 10:00 AM – 1:00 AM | Friday: 10:00 AM – 1:00 AM | Saturday: 10:00 AM – 1:00 AM | Sunday: 10:00 AM – 1:00 AM,strict cafe,"coffee shop in 6th of October City, Giza, Egypt",cafe,Sheikh Zayed west,ChIJbeHGVpNRWBQR4cgB2TZ0fKE
"Bean N’ Bun, Al Guezira Plaza",PRICE_LEVEL_MODERATE,4.6,259,OPERATIONAL,012 86888856,https://www.beannbuneg.com/,https://maps.google.com/?cid=5241764727139575106&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Plot 33, 6th Neighborhood, 4th District, El Sheikh Zayed, in 6th of October City, أول الشيخ زايد، محافظة الجيزة 3242304, Egypt",30.0198418,31.0022768,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 7:00 AM – 12:00 AM | Tuesday: 7:00 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:00 AM – 12:00 AM | Friday: 8:00 AM – 1:00 AM | Saturday: 8:00 AM – 1:00 AM | Sunday: 7:00 AM – 1:00 AM,strict cafe,"cafe in Sheikh Zayed City, Giza, Egypt",cafe,Arkan / Americana Plaza,ChIJzyV1h4xbWBQRQqVTTT99vkg
Cloud nine specialty coffee,PRICE_LEVEL_MODERATE,4.6,210,OPERATIONAL,010 00639806,https://instagram.com/cloudnine_eg?igshid=YmMyMTA2M2Y=,https://maps.google.com/?cid=9745271742197985715&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Al Shabab Rd, Street, Second Al Sheikh Zayed, Giza Governorate 3244101, Egypt",30.0355391,30.9868639,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 7:00 AM – 1:00 AM | Tuesday: 7:00 AM – 1:00 AM | Wednesday: 7:00 AM – 1:00 AM | Thursday: 7:00 AM – 1:00 AM | Friday: 1:00 PM – 1:00 AM | Saturday: 7:00 AM – 1:00 AM | Sunday: 7:00 AM – 1:00 AM,strict cafe,"cafe in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJt2aWlFVZWBQRs_FcUQQpPoc
Drip Coffee,PRICE_LEVEL_MODERATE,4.6,129,OPERATIONAL,015 55500066,https://www.instagram.com/dripcoffee.eg?igsh=MWRnajN2cjMyNTRlNg==,https://maps.google.com/?cid=1784534123989791928&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"26th of July Corridor, First Al Sheikh Zayed, Giza Governorate 3248010, Egypt",30.035180799999996,31.0297086,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,Monday: 8:00 AM – 1:00 AM | Tuesday: 8:00 AM – 1:00 AM | Wednesday: 8:00 AM – 1:00 AM | Thursday: 8:00 AM – 1:00 AM | Friday: 8:00 AM – 1:00 AM | Saturday: 8:00 AM – 1:00 AM | Sunday: 8:00 AM – 1:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJlfYKuUxbWBQRuHT5tVTwwxg
CAF,PRICE_LEVEL_MODERATE,4.6,20,OPERATIONAL,012 88355263,https://www.cafcafeeg.com/,https://maps.google.com/?cid=14561523890165172888&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Giza EL Wasl Road 2, Second Al Sheikh Zayed, Giza Governorate 3387722, Egypt",30.046024100000004,30.9991387,cafe,cafe; food; point_of_interest; establishment,Monday: 10:00 AM – 11:00 PM | Tuesday: 10:00 AM – 11:00 PM | Wednesday: 10:00 AM – 11:00 PM | Thursday: 10:00 AM – 12:00 AM | Friday: 10:00 AM – 12:00 AM | Saturday: 10:00 AM – 11:00 PM | Sunday: 10:00 AM – 11:00 PM,strict cafe,"cafe in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJF-MzzqxbWBQRmMqo7dPsFMo
CAF Cafe - Park St.,PRICE_LEVEL_MODERATE,4.5,822,OPERATIONAL,012 00087334,https://www.cafcafeeg.com/,https://maps.google.com/?cid=3315623483288870329&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Park St, البستان، ثاني الشيخ زايد، محافظة الجيزة 3245504, Egypt",30.025773,31.0106851,cafe,cafe; food; point_of_interest; establishment,Monday: 7:00 AM – 12:00 AM | Tuesday: 7:00 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:00 AM – 1:00 AM | Friday: 7:00 AM – 1:00 AM | Saturday: 7:00 AM – 12:00 AM | Sunday: 7:00 AM – 12:00 AM,strict cafe,"cafe in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJEXJPAhRbWBQRuV1guv11Ay4
Krispy Kreme | Americana Plaza Sheikh Zayed,PRICE_LEVEL_MODERATE,4.5,617,OPERATIONAL,,https://www.americanarestaurants.com/,https://maps.google.com/?cid=11095917994547892603&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Americana Plaza Mall, First Al Sheikh Zayed, Giza Governorate 3245504, Egypt",30.0281193,31.0131162,donut_shop,donut_shop; coffee_shop; bakery; food_store; cafe; food; point_of_interest; store; establishment,Monday: 9:00 AM – 2:00 AM | Tuesday: 9:00 AM – 2:00 AM | Wednesday: 9:00 AM – 2:00 AM | Thursday: 9:00 AM – 2:00 AM | Friday: 9:00 AM – 2:00 AM | Saturday: 9:00 AM – 2:00 AM | Sunday: 9:00 AM – 2:00 AM,strict cafe,"premium cafe in 6th of October City, Giza, Egypt",cafe,6 October core,ChIJf-IwcEtbWBQRe1HkmaCe_Jk
Beanstalk,PRICE_LEVEL_MODERATE,4.5,575,OPERATIONAL,012 23850040,http://www.beanstalkegypt.com/,https://maps.google.com/?cid=11446759645549460158&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Eden Mall, Al Gazira, St, First Al Sheikh Zayed, Giza Governorate 12588, Egypt",30.025110899999998,30.990736499999997,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 9:00 AM – 2:00 AM | Tuesday: 9:00 AM – 2:00 AM | Wednesday: 9:00 AM – 2:00 AM | Thursday: 9:00 AM – 2:00 AM | Friday: 9:00 AM – 2:00 AM | Saturday: 9:00 AM – 2:00 AM | Sunday: 9:00 AM – 2:00 AM,strict cafe,"cafe in Sheikh Zayed City, Giza, Egypt",cafe,Arkan / Americana Plaza,ChIJH-aHtRJbWBQRvnpABkAP254
illy,PRICE_LEVEL_MODERATE,4.5,427,OPERATIONAL,,,https://maps.google.com/?cid=4796981461024953029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2275+62, First 6th of October, Giza Governorate 3292310, Egypt",30.053285,30.944500599999998,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 1:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJoecLEABZWBQRxdKGKjlNkkI
Cugino “ Resturant & Cafe ”,PRICE_LEVEL_MODERATE,4.5,285,OPERATIONAL,010 24388677,https://www.facebook.com/cugino.restuarant.cafe/,https://maps.google.com/?cid=13603784963346373807&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"217 Al Amal, street، Second Al Sheikh Zayed, Giza Governorate 3241340, Egypt",30.0350887,30.967456100000003,restaurant,restaurant; cafe; food; point_of_interest; establishment,Monday: 10:00 AM – 3:00 AM | Tuesday: 10:00 AM – 3:00 AM | Wednesday: 10:00 AM – 3:00 AM | Thursday: 10:00 AM – 3:00 AM | Friday: 10:00 AM – 3:00 AM | Saturday: 10:00 AM – 3:00 AM | Sunday: 10:00 AM – 3:00 AM,strict cafe,كافيهات الشيخ زايد,cafe,Sheikh Zayed west,ChIJvzIidFdZWBQRr5wPJVlayrw
Breadfast Coffee Total zayed,PRICE_LEVEL_MODERATE,4.5,242,OPERATIONAL,,https://www.breadfast.com/,https://maps.google.com/?cid=784032187070043595&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Total, inside shop, أول الشيخ زايد، محافظة الجيزة 3241170, Egypt",30.017204000000003,30.975531999999998,coffee_shop,coffee_shop; cafe; food_store; store; restaurant; food; point_of_interest; establishment,Monday: 6:00 AM – 4:00 AM | Tuesday: 6:00 AM – 4:00 AM | Wednesday: 6:00 AM – 4:00 AM | Thursday: 6:00 AM – 4:00 AM | Friday: 6:00 AM – 4:00 AM | Saturday: 6:00 AM – 4:00 AM | Sunday: 6:00 AM – 4:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJcdhwQzJbWBQRy1XIwh5x4Qo
Social Specialty Coffee,PRICE_LEVEL_MODERATE,4.5,184,OPERATIONAL,,,https://maps.google.com/?cid=1456080444318491363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Melanite Mall, First 6th of October, 6th of October City (2), Giza Governorate 3238320, Egypt",29.977276399999994,30.996379,coffee_shop,coffee_shop; food_store; cafe; food; point_of_interest; store; establishment,Monday: 6:00 AM – 1:00 AM | Tuesday: 6:00 AM – 1:00 AM | Wednesday: 6:00 AM – 1:00 AM | Thursday: 6:00 AM – 1:00 AM | Friday: 6:00 AM – 1:00 AM | Saturday: 6:00 AM – 1:00 AM | Sunday: 6:00 AM – 1:00 AM,strict cafe,"coffee shop in 6th of October City, Giza, Egypt",cafe,Arkan / Americana Plaza,ChIJzxxJtrZRWBQR4yL_D3MJNRQ
RAF Specialty Coffee,PRICE_LEVEL_MODERATE,4.5,49,OPERATIONAL,011 16675459,,https://maps.google.com/?cid=7676324711046425787&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Zed park, gate 3, Second Al Sheikh Zayed, Cairo 00202, Egypt",30.042806799999997,30.996817900000003,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,Monday: 7:00 AM – 12:00 AM | Tuesday: 7:00 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:00 AM – 12:00 AM | Friday: 7:00 AM – 12:00 AM | Saturday: 7:00 AM – 12:00 AM | Sunday: 7:00 AM – 12:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJtxqCmmxbWBQRu6x5XqfIh2o
Favilla Lounge,PRICE_LEVEL_MODERATE,4.4,2617,OPERATIONAL,010 03233646,,https://maps.google.com/?cid=12023568879478049812&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Al Shabab Rd, First Al Sheikh Zayed, Giza Governorate 12593, Egypt",30.030706799999997,30.9985128,italian_restaurant,italian_restaurant; lounge_bar; cafe; night_club; bar; restaurant; food; point_of_interest; establishment,Monday: 9:00 AM – 2:00 AM | Tuesday: 9:00 AM – 2:00 AM | Wednesday: 9:00 AM – 2:00 AM | Thursday: 9:00 AM – 2:00 AM | Friday: 9:00 AM – 2:00 AM | Saturday: 9:00 AM – 2:00 AM | Sunday: 9:00 AM – 2:00 AM,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJC7x_LBhaWBQRFAy7OTFM3KY
